City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,27.31,80,100,9.24,KI,1675730744
1,mataura,-46.1927,168.8643,13.37,97,100,2.11,NZ,1675730704
2,hermanus,-34.4187,19.2345,21.56,94,83,1.57,ZA,1675730744
3,georgetown,5.4112,100.3354,25.96,94,20,0.51,MY,1675730745
4,ellsworth,44.5434,-68.4195,-1.33,65,0,7.72,US,1675730745
5,east london,-33.0153,27.9116,23.17,83,100,3.07,ZA,1675730746
6,olafsvik,64.8945,-23.7142,0.73,60,100,18.79,IS,1675730746
7,kapaa,22.0752,-159.319,27.18,80,75,6.69,US,1675730692
8,yumen,40.2833,97.2,-3.87,49,83,4.26,CN,1675730746
9,reftinskiy,57.0901,61.6769,-11.32,96,100,2.1,RU,1675730747
10,avarua,-21.2078,-159.775,29.03,79,20,4.63,CK,1675730747
11,port alfred,-33.5906,26.891,21.77,93,100,0.45,ZA,1675730747
12,bambous virieux,-20.3428,57.7575,24.56,78,81,6.4,MU,1675730261
13,hithadhoo,-0.6,73.0833,27.45,68,100,4.18,MV,1675730748
14,hasaki,35.7333,140.8333,11.79,53,100,2.42,JP,1675730748
15,kosai,34.7105,137.5316,11.63,34,43,1.64,JP,1675730748
16,port elizabeth,-33.918,25.5701,23.16,93,0,4.47,ZA,1675730749
17,kaitangata,-46.2817,169.8464,16.81,70,100,4.34,NZ,1675730749
18,bredasdorp,-34.5322,20.0403,19.95,95,36,0.88,ZA,1675730749
19,touros,-5.1989,-35.4608,26.27,78,25,4.86,BR,1675730730
20,qasigiannguit,68.8193,-51.1922,-18.86,98,100,3.07,GL,1675730750
21,qaanaaq,77.484,-69.3632,-26.29,94,100,1.15,GL,1675730690
22,esperance,-33.8667,121.9,21.9,77,0,8.48,AU,1675730746
23,atuona,-9.8,-139.0333,25.89,78,24,6.2,PF,1675730459
24,korla,41.7597,86.1469,-0.13,60,100,1.29,CN,1675730750
25,bambanglipuro,-7.95,110.2833,25.75,83,100,1.5,ID,1675730751
26,necochea,-38.5473,-58.7368,15.89,78,25,6.29,AR,1675730751
27,provideniya,64.3833,-173.3,-16.94,60,100,7.0,RU,1675730751
28,jamestown,42.097,-79.2353,-1.1,90,100,1.54,US,1675730696
29,laguna,38.421,-121.4238,17.16,39,0,5.14,US,1675730492
30,rio grande,-32.035,-52.0986,23.06,75,6,4.38,BR,1675730752
31,barrow,71.2906,-156.7887,-22.99,77,100,4.63,US,1675730752
32,opuwo,-18.0607,13.84,18.53,46,64,2.2,NA,1675730752
33,palauig,15.435,119.9045,27.73,67,100,0.29,PH,1675730753
34,bluff,-46.6,168.3333,14.36,75,35,13.59,NZ,1675730753
35,mar del plata,-38.0023,-57.5575,20.61,74,0,5.36,AR,1675730595
36,ures,29.4333,-110.4,18.49,19,50,8.25,MX,1675730754
37,lorengau,-2.0226,147.2712,25.14,92,100,2.49,PG,1675730754
38,ribeira grande,38.5167,-28.7,13.76,70,97,7.6,PT,1675730754
39,berlevag,70.8578,29.0864,4.0,75,100,13.38,NO,1675730755
40,constitucion,-35.3333,-72.4167,15.17,79,0,4.74,CL,1675730755
41,hualmay,-11.0964,-77.6139,22.84,81,82,2.9,PE,1675730508
42,ariquemes,-9.9133,-63.0408,22.53,97,100,0.3,BR,1675730486
43,belaya gora,68.5333,146.4167,-31.02,99,100,0.95,RU,1675730756
44,boca do acre,-8.7522,-67.3978,22.25,98,100,0.87,BR,1675730756
45,namibe,-15.1961,12.1522,21.19,80,89,2.29,AO,1675730756
46,khuzdar,27.7384,66.6434,10.4,22,0,2.28,PK,1675730757
47,rikitea,-23.1203,-134.9692,26.51,71,49,4.11,PF,1675730757
48,faanui,-16.4833,-151.75,27.37,76,9,6.32,PF,1675730757
49,novouzensk,50.4592,48.1431,-12.41,91,100,5.36,RU,1675730757
50,miri,4.4148,114.0089,24.08,94,40,3.09,MY,1675730758
51,busselton,-33.65,115.3333,22.81,60,64,5.19,AU,1675730758
52,chokurdakh,70.6333,147.9167,-34.11,100,97,0.95,RU,1675730758
53,turkistan,43.0,68.0,0.27,65,0,2.32,KZ,1675730759
54,juruti,-2.1522,-56.0922,24.38,86,32,1.23,BR,1675730759
55,yellowknife,62.456,-114.3525,-20.71,77,100,4.12,CA,1675730760
56,isangel,-19.55,169.2667,31.06,74,100,1.03,VU,1675730760
57,hobart,-42.8794,147.3294,21.7,45,40,7.72,AU,1675730619
58,hammerfest,70.6634,23.6821,5.25,87,75,7.2,NO,1675730760
59,faya,18.3851,42.4509,12.29,64,98,1.68,SA,1675730751
60,lavrentiya,65.5833,-171.0,-25.01,88,72,2.63,RU,1675730761
61,san juan,-31.5375,-68.5364,31.0,19,21,4.89,AR,1675730590
62,sur,22.5667,59.5289,20.91,58,99,1.38,OM,1675730761
63,pacific grove,36.6177,-121.9166,15.01,75,0,6.71,US,1675730763
64,carnarvon,-24.8667,113.6333,26.5,56,0,8.48,AU,1675730763
65,cape town,-33.9258,18.4232,23.54,85,100,2.24,ZA,1675730564
66,pisco,-13.7,-76.2167,24.03,88,0,7.2,PE,1675730764
67,thunder bay,48.4001,-89.3168,-3.01,86,40,3.6,CA,1675730747
68,havelock,34.8791,-76.9013,11.97,79,0,0.0,US,1675730565
69,grand-lahou,5.1367,-5.0242,26.17,86,100,3.27,CI,1675730765
70,arlit,18.7369,7.3853,21.06,15,100,2.99,NE,1675730766
71,vila velha,-20.3297,-40.2925,26.08,87,0,1.54,BR,1675730766
72,castro,-24.7911,-50.0119,19.64,67,92,1.22,BR,1675730767
73,albany,42.6001,-73.9662,-1.26,67,62,0.89,US,1675730614
74,kiruna,67.8557,20.2251,3.51,75,75,9.26,SE,1675730479
75,punta arenas,-53.15,-70.9167,13.06,82,75,3.6,CL,1675730716
76,klaksvik,62.2266,-6.589,5.51,63,60,13.43,FO,1675730769
77,giaveno,45.047,7.3492,1.54,82,100,2.65,IT,1675730769
78,puerto penasco,31.3167,-113.5333,19.95,19,0,2.68,MX,1675730770
79,antofagasta,-23.65,-70.4,21.6,85,35,1.53,CL,1675730766
80,tomar,39.602,-8.4092,10.16,65,0,5.59,PT,1675730772
81,atakpame,7.5333,1.1333,25.52,72,100,2.52,TG,1675730773
82,victoria,22.2855,114.1577,21.08,88,41,2.24,HK,1675730774
83,mackay,-21.15,149.2,30.38,79,41,8.12,AU,1675730775
84,majene,-3.5403,118.9707,28.72,62,100,1.58,ID,1675730775
85,saint george,37.1041,-113.5841,10.33,38,0,10.8,US,1675730625
86,saint-philippe,-21.3585,55.7679,24.77,85,67,4.95,RE,1675730776
87,tuktoyaktuk,69.4541,-133.0374,-41.0,66,40,1.54,CA,1675730777
88,guasdualito,7.2424,-70.7324,26.98,61,20,0.0,VE,1675730777
89,khatanga,71.9667,102.5,-40.79,100,70,0.9,RU,1675730778
90,ampanihy,-24.7,44.75,22.66,81,100,2.88,MG,1675730778
91,dikson,73.5069,80.5464,-31.73,100,100,2.17,RU,1675730260
92,talnakh,69.4865,88.3972,-23.22,98,100,2.76,RU,1675730779
93,bathsheba,13.2167,-59.5167,26.34,69,40,8.75,BB,1675730779
94,tiksi,71.6872,128.8694,-33.25,100,100,1.55,RU,1675730780
95,itoman,26.1247,127.6694,21.01,86,75,6.17,JP,1675730780
96,hilo,19.7297,-155.09,26.82,78,75,4.12,US,1675730578
97,skjervoy,70.0311,20.9714,11.0,89,100,7.36,NO,1675730781
98,bintulu,3.1667,113.0333,22.23,100,40,3.09,MY,1675730715
99,cidreira,-30.1811,-50.2056,23.33,78,0,3.6,BR,1675730782
100,mishkino,55.3389,63.9175,-18.04,100,99,2.67,RU,1675730782
101,ramshir,30.8946,49.4092,16.86,58,100,4.25,IR,1675730784
102,salmo,49.1999,-117.2689,4.27,99,100,1.51,CA,1675730784
103,sao joao da barra,-21.6403,-41.0511,26.05,91,99,0.08,BR,1675730785
104,chicama,-7.8447,-79.1469,22.3,74,47,2.53,PE,1675730785
105,umm kaddadah,13.6017,26.6876,18.5,20,59,8.12,SD,1675730786
106,alexandria,31.2156,29.9553,8.3,61,100,8.52,EG,1675730742
107,quatre cocos,-20.2078,57.7625,24.49,79,80,6.18,MU,1675730787
108,ushuaia,-54.8,-68.3,9.81,93,100,1.54,AR,1675730787
109,anadyr,64.75,177.4833,-24.72,75,100,5.0,RU,1675730787
110,gigmoto,13.7796,124.39,27.0,82,38,4.68,PH,1675730788
111,bilibino,68.0546,166.4372,-34.92,98,100,0.66,RU,1675730557
112,sombrerete,23.6333,-103.65,15.15,25,2,6.21,MX,1675730769
113,tucuman,-26.8241,-65.2226,25.0,78,0,1.54,AR,1675730789
114,avera,33.194,-82.5271,10.73,51,0,1.91,US,1675730790
115,san patricio,28.017,-97.5169,22.05,81,41,7.6,US,1675730790
116,olavarria,-36.8927,-60.3225,21.7,61,100,7.19,AR,1675730790
117,zverinogolovskoye,54.4586,64.8542,-20.86,100,99,1.08,RU,1675730790
118,tura,25.5198,90.2201,12.95,59,0,1.63,IN,1675730791
119,rawah,34.4816,41.9093,10.23,65,100,4.09,IQ,1675730791
120,fortuna,40.5982,-124.1573,11.19,71,0,4.12,US,1675730792
121,quelimane,-17.8786,36.8883,25.97,94,40,1.54,MZ,1675730792
122,cururupu,-1.8283,-44.8683,23.72,97,100,1.28,BR,1675730645
123,pyapon,16.2833,95.6833,21.05,59,100,2.29,MM,1675730792
124,athabasca,54.7169,-113.2854,3.23,86,95,3.84,CA,1675730759
125,mezen,65.8522,44.24,-17.08,98,98,3.19,RU,1675730793
126,saskylakh,71.9167,114.0833,-36.5,100,100,0.97,RU,1675730793
127,sinnamary,5.3833,-52.95,24.45,89,87,5.6,GF,1675730794
128,upernavik,72.7868,-56.1549,-22.61,94,100,3.65,GL,1675730795
129,tautira,-17.7333,-149.15,26.65,76,31,5.76,PF,1675730795
130,inongo,-1.95,18.2667,22.47,89,95,2.72,CD,1675730795
131,gorontalo,0.5412,123.0595,25.62,85,100,1.33,ID,1675730571
132,arraial do cabo,-22.9661,-42.0278,23.98,88,98,1.54,BR,1675730714
133,vaini,-21.2,-175.2,24.09,94,75,3.09,TO,1675730753
134,chuy,-33.6971,-53.4616,20.81,80,6,2.46,UY,1675730796
135,walvis bay,-22.9575,14.5053,18.94,88,100,2.57,NA,1675730796
136,nago,26.5881,127.9761,20.25,84,22,6.67,JP,1675730797
137,san carlos,9.6612,-68.5827,26.28,51,90,1.56,VE,1675730548
138,wadi musa,30.3222,35.4793,2.22,88,99,9.86,JO,1675730797
139,samarai,-10.6167,150.6667,26.45,84,100,4.95,PG,1675730797
140,celestun,20.8667,-90.4,24.09,76,90,6.68,MX,1675730798
141,coahuayana,18.7333,-103.6833,23.21,82,15,1.7,MX,1675730798
142,kavieng,-2.5744,150.7967,27.69,80,100,3.58,PG,1675730798
143,rafaela,-31.2503,-61.4867,28.88,27,0,1.79,AR,1675730799
144,wanning,18.8003,110.3967,23.91,85,32,2.71,CN,1675730799
145,ugoofaaru,5.6667,73.0,26.86,75,100,4.19,MV,1675730799
146,pangnirtung,66.1451,-65.7125,-37.15,94,97,1.94,CA,1675730687
147,buala,-8.145,159.5921,28.52,73,100,3.99,SB,1675730800
148,placido de castro,-10.3353,-67.1856,21.95,99,96,0.99,BR,1675730800
149,severo-kurilsk,50.6789,156.125,-4.43,76,99,10.09,RU,1675730800
150,shillong,25.5689,91.8831,6.37,60,0,1.42,IN,1675730801
151,adzope,6.1069,-3.8619,24.08,90,100,1.43,CI,1675730801
152,katsuura,35.1333,140.3,12.11,59,57,2.77,JP,1675730801
153,torbay,47.6666,-52.7314,0.49,96,100,3.58,CA,1675730748
154,estelle,29.8458,-90.1067,18.0,75,75,3.6,US,1675730802
155,poum,-20.2333,164.0167,27.6,81,100,6.6,NC,1675730802
156,batagay-alyta,67.8006,130.4114,-40.65,96,24,1.95,RU,1675730802
157,monte alegre de minas,-18.8706,-48.8808,21.72,85,100,1.3,BR,1675730803
158,haines junction,60.7522,-137.5108,-1.03,47,100,3.6,CA,1675730627
159,nandyal,15.4833,78.4833,20.59,72,84,1.92,IN,1675730803
160,meulaboh,4.1363,96.1285,24.02,87,49,1.62,ID,1675730804
161,andra,62.5147,65.8878,-23.45,100,99,2.62,RU,1675730804
162,barcelos,41.5388,-8.6151,9.82,63,0,3.08,PT,1675730804
163,luena,-11.7833,19.9167,16.76,94,100,1.87,AO,1675730805
164,dingle,10.9995,122.6711,26.91,80,100,5.1,PH,1675730805
165,columbus,39.9612,-82.9988,1.29,82,75,3.6,US,1675730597
